param,val,subj_idx,gLen
t,0.0950054334173553,91,6
t,0.08547204658490881,91,1
t,0.4464083795498463,93,6
t,0.19963844467044994,93,1
t,0.09048211113757504,94,6
t,0.045944933240940386,94,1
t,0.10264158736481381,95,6
t,0.08812440302546826,95,1
t,0.15110883435483485,96,6
t,0.13637811462097996,96,1
t,0.09587209595585594,97,6
t,0.07263430050011878,97,1
t,0.05606456446532857,98,6
t,0.05921916239263565,98,1
t,0.10387451440741742,9,6
t,0.05853871060584936,9,1
