Subject,Horizon,dR,dI,rt,x0,z,A,T0
1,6,44.33333333,1,0.59,0.096356652,0.649096641,0.203040726,0.064435515
1,1,-29.33333333,-1,1.48,-0.204257002,0.788514106,-0.559094795,0.016273834
1,1,9,0,0.52,0.018329701,0.831211942,0.124151718,0.016273834
1,1,-8.5,0,1.15,-0.067655658,0.781785462,-0.210973948,0.016273834
1,1,-7.5,0,0.29,-0.062757104,0.784609833,-0.19182391,0.016273834
1,6,6.333333333,1,0.44,0.054454578,0.698173228,-0.407168749,0.064435515
1,1,35.5,0,0.25,0.147611659,0.906057754,0.631627727,0.016273834
1,6,-6.5,0,0.4,-0.064824564,0.657702759,-0.232735706,0.064435515
1,1,-8.666666667,-1,1.3,-0.105111918,0.846884425,-0.163327342,0.016273834
1,1,-15.5,0,0.12,-0.101841245,0.762014871,-0.345024215,0.016273834
1,6,-47.5,0,0.43,-0.109944868,0.710653812,-0.891119613,0.064435515
1,1,-6.5,0,0.31,-0.057855524,0.787434203,-0.172673872,0.016273834
1,1,-25,0,0.33,-0.147839184,0.735183353,-0.526949576,0.016273834
1,6,-7,0,0.97,-0.065376793,0.658348503,-0.240764778,0.064435515
1,6,-3.333333333,1,1.46,0.043758668,0.710657622,-0.562397476,0.064435515
1,1,32,0,0.14,0.1307274,0.896172458,0.564602594,0.016273834
1,1,11.66666667,1,0.62,0.068266558,0.773173905,0.124380207,0.016273834
1,1,4,0,1.38,-0.00626557,0.817090091,0.028401528,0.016273834
1,1,14,-1,0.35,0.006006557,0.910903484,0.270740188,0.016273834
1,1,11.5,0,1.26,0.030620882,0.838272868,0.172026813,0.016273834
1,6,-18,0,0.54,-0.077515108,0.672554883,-0.417404363,0.064435515
1,1,16,-1,0.8,0.015844266,0.916552224,0.309040264,0.016273834
1,1,-12.66666667,1,1.31,-0.051289431,0.704447562,-0.341604053,0.016273834
1,1,-15.5,0,1.07,-0.101841245,0.762014871,-0.345024215,0.016273834
1,6,4.333333333,1,0.54,0.052242575,0.700756206,-0.439285038,0.064435515
1,1,-16,-1,1.05,-0.140639393,0.826172376,-0.303760954,0.016273834
1,1,-17,-1,0.53,-0.145458197,0.823348006,-0.322910992,0.016273834
1,6,-8,1,0.76,0.03859138,0.716684572,-0.637335481,0.064435515
1,1,-1.5,0,0.36,-0.033310471,0.801556054,-0.076923682,0.016273834
1,6,-16.5,0,0.96,-0.075861155,0.67061765,-0.393317147,0.064435515
1,1,-43.33333333,1,0.23,-0.199487322,0.617833541,-0.928871887,0.016273834
1,1,-11,0,0.72,-0.079887273,0.774724537,-0.258849043,0.016273834
1,1,-9,0,0.22,-0.070103728,0.780373277,-0.220548967,0.016273834
1,6,20.5,0,1.27,-0.034954061,0.622832553,0.200834185,0.064435515
1,1,-18.5,0,0.4,-0.116423643,0.75354176,-0.402474329,0.016273834
1,1,-9.5,0,0.45,-0.072550953,0.778961092,-0.230123986,0.016273834
1,6,-11,0,0.41,-0.069793156,0.66351446,-0.304997354,0.064435515
1,6,23,-1,0.66,-0.136527406,0.562559251,0.621492105,0.064435515
1,6,3,0,0.69,-0.05432505,0.645433612,-0.080183337,0.064435515
1,1,8.5,0,0.89,0.015870681,0.829799757,0.114576699,0.016273834
1,6,21,0,0.56,-0.034400148,0.622186808,0.208863257,0.064435515
1,1,-11.5,0,0.48,-0.08233083,0.773312352,-0.268424062,0.016273834
1,6,3.5,0,0.15,-0.053772091,0.644787868,-0.072154265,0.064435515
1,1,44,1,0.87,0.223594066,0.86449521,0.743564771,0.016273834
1,6,-41,1,0.41,0.00200831,0.759303712,-1.167254237,0.064435515
1,6,-8.333333333,1,2.15,0.038222206,0.717115068,-0.642688196,0.064435515
1,6,-17.5,0,0.37,-0.076963838,0.671909139,-0.409375291,0.064435515
1,1,24.66666667,1,0.46,0.131559179,0.809890719,0.373330702,0.016273834
1,6,34,-1,0.44,-0.124534695,0.548352871,0.79813169,0.064435515
1,6,-0.5,0,0.23,-0.058194814,0.649953824,-0.136386841,0.064435515
1,1,-19,1,0.23,-0.082304588,0.686559884,-0.462887627,0.016273834
1,6,-10,0,0.32,-0.068689315,0.662222971,-0.28893921,0.064435515
1,6,-20.33333333,-1,0.08,-0.183351753,0.618523779,-0.074360806,0.064435515
1,6,2,1,0.34,0.049661258,0.70376968,-0.47675404,0.064435515
1,6,12.5,0,0.84,-0.04381351,0.633164466,0.072369032,0.064435515
1,1,-14.5,0,1.21,-0.096970385,0.764839241,-0.325874176,0.016273834
1,1,-16.5,0,0.49,-0.106707226,0.7591905,-0.364174253,0.016273834
1,6,-13.33333333,-1,0.33,-0.175838108,0.609483355,0.038046203,0.064435515
1,6,22,1,0.72,0.071761754,0.677939898,-0.155591159,0.064435515
1,1,6.5,0,0.37,0.006032978,0.824151016,0.076276623,0.016273834
1,1,-5,0,0.39,-0.050497995,0.791670758,-0.143948815,0.016273834
1,6,19.33333333,1,0.3,0.068818612,0.681383869,-0.198412876,0.064435515
1,6,-31.66666667,1,0.8,0.012359833,0.747249814,-1.017378225,0.064435515
1,6,10,1,0.17,0.058508514,0.693437768,-0.348288888,0.064435515
1,6,19,0,0.53,-0.036615668,0.624769786,0.176746969,0.064435515
1,1,-27.66666667,1,0.79,-0.124477738,0.662082008,-0.628854624,0.016273834
1,1,0,0,1.22,-0.025937759,0.80579261,-0.048198624,0.016273834
1,6,-28.66666667,-1,0.13,-0.192268648,0.629286188,-0.208178673,0.064435515
1,1,-14,1,0.46,-0.057829191,0.700681735,-0.367137437,0.016273834
1,6,15,-1,0.31,-0.145224517,0.572891164,0.493026952,0.064435515
1,1,6.333333333,-1,0.64,-0.031698771,0.889249978,0.12392323,0.016273834
1,6,13.5,0,1.46,-0.042706427,0.631872977,0.088427176,0.064435515
1,6,-5.5,0,1.08,-0.063719987,0.65641127,-0.216677561,0.064435515
1,6,19.33333333,-1,0.22,-0.140516279,0.567294711,0.562612243,0.064435515
1,6,-19,1,0.18,0.026403669,0.730890952,-0.813975066,0.064435515
1,1,36.66666667,-1,0.35,0.116976895,0.974922543,0.704807718,0.016273834
1,1,30,-1,1.36,0.084516232,0.956093408,0.577140797,0.016273834
1,6,2.5,0,0.45,-0.054877976,0.646079357,-0.088212409,0.064435515
1,6,6,1,0.27,0.054085947,0.698603724,-0.412521464,0.064435515
1,1,-20,0,0.61,-0.123696464,0.749305204,-0.431199386,0.016273834
1,1,20.5,0,0.5,0.074766008,0.8636922,0.344377156,0.016273834
1,6,5.333333333,1,0.59,0.053348642,0.699464717,-0.423226893,0.064435515
1,1,2.5,0,1.58,-0.013644028,0.812853535,-0.000323529,0.016273834
1,1,-16,0,0.22,-0.104274859,0.760602685,-0.354599234,0.016273834
1,6,30,1,0.32,0.080583481,0.667607985,-0.027126006,0.064435515
1,6,-1,0,0.91,-0.058747497,0.650599569,-0.144415913,0.064435515
1,1,-29.66666667,-1,0.13,-0.205827886,0.787572649,-0.565478141,0.016273834
1,6,33,0,0.27,-0.021100689,0.606688939,0.401560986,0.064435515
1,6,-26.66666667,-1,0.79,-0.190131427,0.62670321,-0.176062385,0.064435515
1,1,-8.666666667,1,0.2,-0.031645981,0.715745043,-0.265003901,0.016273834
1,1,5.333333333,1,0.37,0.037199015,0.755286227,0.003096632,0.016273834
1,6,4.666666667,1,0.24,0.052611278,0.700325709,-0.433932323,0.064435515
1,1,-3,0,0.67,-0.04067956,0.797319499,-0.105648739,0.016273834
1,6,26.33333333,1,0.66,0.076541672,0.672343445,-0.086005867,0.064435515
1,1,-32.5,0,1.08,-0.183716897,0.714000576,-0.670574862,0.016273834
1,1,-19.5,0,1.36,-0.121273627,0.75071739,-0.421624367,0.016273834
1,6,26.5,0,0.2,-0.02830579,0.615083618,0.29718305,0.064435515
1,1,28.5,0,0.67,0.113766968,0.886287162,0.497577461,0.016273834
1,1,9.5,0,0.49,0.0207885,0.832624127,0.133726737,0.016273834
1,6,26,0,0.53,-0.028859917,0.615729363,0.289153978,0.064435515
1,6,30.66666667,-1,0.38,-0.12817286,0.552657834,0.744604543,0.064435515
1,1,-6.5,0,0.33,-0.057855524,0.787434203,-0.172673872,0.016273834
1,1,-30.33333333,-1,0.71,-0.208966468,0.785689736,-0.578244833,0.016273834
1,1,8.5,0,1.32,0.015870681,0.829799757,0.114576699,0.016273834
1,6,10.66666667,1,1.03,0.05924539,0.692576775,-0.337583458,0.064435515
